No;Nama Produk;Kategori;Nama Toko;Nama Toko Lower;Deskripsi Toko;Harga;Pengiriman dari;Deskripsi Produk;Terjual;Rating;Sedikit Testimoni;Pemberi Testimoni
11;Logitech K120 USB Wired Keyboard;Aksesori Komputer;Logitech Official Shop;logitech;Logitech Official Shop adalah store resmi untuk produk Logitech Gaming. Barang yang kami jual dijamin 100% asli dan bergaransi resmi.;109000;Kota Jakarta Pusat;Rasakan nyamannya mengetik dengan keyboard low-profile, tombol yang tidak berisik dan layout utuh sesuai standar, lengkap dengan F-keys dan num pad.Tangguh dan tampil menarik.Keyboard slim tidak hanya elegan, ia juga dirancang tahan tumpahan cairan, dengan sandaran kemiringan yang kokoh, dan tombol yang tahan lama.;1500;5;Ori karena beli di official store :) barang sesuai deskripsi, pengiriman cepat, packing aman menggunakan bubble;r*****2
12;Logitech K200 USB Multimedia Wired Keyboard;Aksesori Komputer;Logitech Official Shop;logitech;Logitech Official Shop adalah store resmi untuk produk Logitech Gaming. Barang yang kami jual dijamin 100% asli dan bergaransi resmi.;125000;Kota Jakarta Pusat;Full-size, value USB keyboard dengan delapan hot key dan desain yang tahan lama.Fast Track.Pengetikan yang Nyaman dan Hening.Kaki Penyangga yang Kokoh dan dapat disesuaikan.Satu sentuhan untuk solusi rutinitasmu.Dengan Logitech Media Keyboard K200, Anda dapat memainkan musik, mengganti volume, atau membuka Web dengan cepat dan instan.;575;5;This works well ..........................................;i*****l
13;Logitech M171 Wireless Mouse;Aksesori Komputer;Logitech Official Shop;logitech;Logitech Official Shop adalah store resmi untuk produk Logitech Gaming. Barang yang kami jual dijamin 100% asli dan bergaransi resmi.;139000;Kota Jakarta Pusat;2.4 GHz Wireless Technology Mouse,Nano-receiver,10m Wireless range, dan 1 Year Local Official Distributor Warranty.;1600;5;Mantap barang sudah datang dgn aman dan berfungsi baik. Mudah2an awet. Tks;a*****s
14;Logitech M187 Mini Wireless Mouse;Aksesori Komputer;Logitech Official Shop;logitech;Logitech Official Shop adalah store resmi untuk produk Logitech Gaming. Barang yang kami jual dijamin 100% asli dan bergaransi resmi.;155000;Kota Jakarta Pusat;2.4 GHz wireless,Extra-small shape,USB,dan 1 Year Local Official Distributor Warranty.;2600;5;Produk bagus, original, respon penjual cepat, pengemasan rapi, pesanan sampai dengan selamat di tujuan. Terima kasih yaaa....;putitanjungsari
15;Logitech MK120 Dekstop USB Keyboard Mouse;Aksesori Komputer;Logitech Official Shop;logitech;Logitech Official Shop adalah store resmi untuk produk Logitech Gaming. Barang yang kami jual dijamin 100% asli dan bergaransi resmi.;172000;Kota Jakarta Pusat;USB Keyboard,USB Mouse Optical,1x Wheel,dan 1 Year Local Official Distributor Warranty.;1300;5;Sudah sampaai. Terima kasihhhh. Pengiriman standar. Makasihhhhhhhhhh;r*****2
16;Mobile Phone Kabel Data Android Type C;Aksesori Handphone;Le Shang;mobile;Selamat datang di toko saya, saya senang melayani Anda. Toko Le Shang menjual barang-barang rumah tangga. Xiao Er ada di sini untuk mendoakan kamu bahagia !;4500;Kabupaten Tangerang;Merek leshang, OD 3.5mm,Output1.5A,Panjang 1M,dan Material PVC.;8200;5;Mantap, gak nyangka harga jualnya tinggi tapi harganya murah bangettt. Cocok buat Reseller nih.... Adain promo lebih banyak yah... Saya kasih Rating 5... Josssss;jafar440a
17;Headset Kabel Berwarna dengan headset in-ear Olahraga;Aksesori Handphone;Le Shang;mobile;Selamat datang di toko saya, saya senang melayani Anda. Toko Le Shang menjual barang-barang rumah tangga. Xiao Er ada di sini untuk mendoakan kamu bahagia !;18000;Kabupaten Tangerang;Type Wired headset, Plug diameter 3.5mm, Plug type straight plug type,Whether wireless headphones wired headphones,With or without microphone(Yes).;0;5;-;-
18;Softcase Silikon Bening Semua Tipe Handphone Smartphone Ponsel HP;Aksesori Handphone;Jogja Skin Case;case;Produsen softcase hardcase anticrack blackmatte custom. Menerima grosir reseller dropship ke berbagai wilayah. Harga khusus untuk grosir dijamin paling murah.;10000;Kota Yogyakarta;Terbuat dari material TPU (Thermoplastic Poly Urethane),Tombol power dan volume tertutup dengan softcase jelly nya. Jadi, disaat kita tekan tombol nya terasa empuk.;11000;5;Toko ini langganan aku banget Alhamdulillah gak pernah kecewa,cocok buat para reseller yg ngambil barang untuk di jual kmbli karna harganya murah;restihermiati
19;Charger HP Asus Original 100% Fast Charging 2A-5V Micro USB;Aksesori Handphone;Starr_acc;aksesori;Opening starr ACC diskon up to 75%.. semua produk di starr ACC ready dan siap kirim di hari yg sama anda order ya sist gan..;72000;Kota Depok;Charger Asus Original Fast Charging 2A-5V Micro Usb;105;5;kualitas sangat baik sekali. pengemasan cepat. produk sesuai. penjual sangat respon. Terimakasih;a*****g
20;Powerbank 20000 mAH Portable Power Bank Murah Mini Slim;Aksesori Handphone;Vgz4tp3iwg;aksesoris;Selamat datang di toko kami, Semoga Saudara belanja dengan Senang&Aman.Produk Toko Semua READY STCOK ,Jakarta SHIPING!Toko baru,harga promosi untuk semua produk, nanti akan dikembalikan harga normal setelah periode promosi!24Jam Shiping,1-3 hari sampai tempat!;80000;Kota Jakarta Barat;Kapasitas Besar 20000mAh hingga 99 persen konversi.Ultra-tipis hanya 0,15cm, 230g saja. Mini Nyaman dan Portabel. Tekstur Matte memberikan sentuhan luar biasa dan nyaman,3 Port Output  Micro USBX2 /Tipe-C, Dual Port Iutput Micro usb/Type-c.;215;5;Barang bagus...aman packing pengiriman cepat;septikustiana10101981
21;Garnier Micellar Cleansing Water 50 ml;Perawatan dan Kecantikan;TnT Beauty Shop;beauty;OPEN, AUTHENTIC ONLY! ORIGINAL 100%!Reseller Ok, Dropship Aman (HARUS isi di kolom Dropship)Proses H+1-2 dari transfer.Tidak bisa ganti ITEM/Varian Produk, di note tulis di keterangan tidak bisa ganti juga!;14500;Kota Jakarta Selatan;Garnier Micellar Cleansing Water Pink | Blue | Bipase Oil | 400 ml | 125 ml | 50 ml. Original 100%. Ada NO.BPOM di kemasan. EXP date : 2023.;15000;5;Udah cocok sama produk inii. Jadi mau ganti juga bingung hehee. Pokonya, Ga usah diragukan lagi tokonya ini mah. Teh best bangeettt. Sukses selalu ya kak . Amanah teruusss. Terima kasiihhh. Oke oke okeeee;t*****5
22;Maybelline HyperCurl Mascara Original;Perawatan dan Kecantikan;TnT Beauty Shop;beauty;OPEN, AUTHENTIC ONLY! ORIGINAL 100%!Reseller Ok, Dropship Aman (HARUS isi di kolom Dropship)Proses H+1-2 dari transfer.Tidak bisa ganti ITEM/Varian Produk, di note tulis di keterangan tidak bisa ganti juga!;38900;Kota Jakarta Selatan;Maybelline Volum Express Hypercurl 100% Original.Ada NO.BPOM di kemasan.Exp date 2022.Kemasan Baru.;15000;5;Kualitas produk sangat baik. produk original. packing rapi pake bubble wrap. seller ramah;w*****i
23;Maybelline Sensational Liquid Matte Lip Tint Liptint Lipstick Lip Stick Pink Easy Berry;Perawatan dan Kecantikan;TnT Beauty Shop;beauty;OPEN, AUTHENTIC ONLY! ORIGINAL 100%!Reseller Ok, Dropship Aman (HARUS isi di kolom Dropship)Proses H+1-2 dari transfer.Tidak bisa ganti ITEM/Varian Produk, di note tulis di keterangan tidak bisa ganti juga!;41500;Kota Jakarta Selatan;Maybelline Sensational Liquid Matte.Original 100%.Ada NOMOR BPOM di kemasan.EXP date : 05/22.;11000;5;Pengiriman lamaaaaaaaa banget barang lumayan murah kualitas lumayan dah buat harga segitu..........tapi ga tau ini original apa bukan..;noordhani
24;Wardah Lightening Whip Facial Foam Wash 100ml;Perawatan dan Kecantikan;TnT Beauty Shop;beauty;OPEN, AUTHENTIC ONLY! ORIGINAL 100%!Reseller Ok, Dropship Aman (HARUS isi di kolom Dropship)Proses H+1-2 dari transfer.Tidak bisa ganti ITEM/Varian Produk, di note tulis di keterangan tidak bisa ganti juga!;22000;Kota Jakarta Selatan;Original 100%.Ada NO.BPOM di kemasan : NA18191234444.EXP Date : 01/03/23.Available size 50ml dan 100ml.;174;5;Pokoknya terbaik beli di toko ini ,, cepet dateng barang original;d*****h
25;[BPOM] Naturgo BPOM / Hanasui Naturgo / Masker Lumpur Lightening / Anti Aging Mask 100% Original;Perawatan dan Kecantikan;TnT Beauty Shop;beauty;OPEN, AUTHENTIC ONLY! ORIGINAL 100%!Reseller Ok, Dropship Aman (HARUS isi di kolom Dropship)Proses H+1-2 dari transfer.Tidak bisa ganti ITEM/Varian Produk, di note tulis di keterangan tidak bisa ganti juga!;3000;Kota Jakarta Selatan;Naturgo (Masker Lumpur yang sangat Laris).Ini Versi BPOM Resminya (sudah terdaftar di BPOM).BPOM NA 18160200536.Karena sudah BPOM tentunya bahan-bahannya dijamin aman ^^.EXP date: 2022.;10004;5;Produk baik,pengiriman aga lama,tapi barang mendarat dengan aman,tencuu;i*****8
26;Arduino UNO R3 SMD CH340 ATMega328p Plus USB & Pin Header;Komponen Elektronik;CNC Store Bandung;elektronika;Jual komponen elektronik, Kontrol industri Arduino, Raspberry, IOT, Robotika. Order YES sebelum 14.00 dikirim hari yang sama. Terpercaya, Cepat, Lengkap, dan Bergaransi. Mohon kebijakannya untuk sebisa mungkin order minimum 15k :-).;51000;Kota Bandung;Selamat datang di toko kami gan,, Kabar baik untuk anda para penggemar arduino karena produk yang kami tawarkan kali ini adalah Arduino R3 SMD dengan harga yang lebih ekonomis karena menggunakan IC ATMEGA328P type SMD dengan driver CH340. Dari sisi harga memang jauh lebih murah namun bukan berarti kehandalan dan fungsinya berkurang.;1500;5;Barang sesuai gambar, tidak ada kerusakan, penjual ramah dan responsif, harga terjangkau, pengiriman cukup cepat. Terima kasih;fujiyanti25_
27;ATMEGA328P-PU ATMEGA328 MCU AVR DIP-28;Komponen Elektronik;CNC Store Bandung;elektronika;Jual komponen elektronik, Kontrol industri Arduino, Raspberry, IOT, Robotika. Order YES sebelum 14.00 dikirim hari yang sama. Terpercaya, Cepat, Lengkap, dan Bergaransi. Mohon kebijakannya untuk sebisa mungkin order minimum 15k :-).;20000;Kota Bandung;IC ATmega328P-PU Ini merupaka IC utama pada Arduino Uno r3 namun belum terisi bootloader, ataupun digunakan standalone atau sistem minimum buatan sendiri sebagaimana mikrokontroller AVR biasa. :D;994;5;Packing rapi,penjual ramah,harga ok dan barang sesuai pesanan ;o*****m
28;Module DHT11 Sensor Suhu dan Kelembapan Humidity Sensor Modul;Komponen Elektronik;CNC Store Bandung;elektronika;Jual komponen elektronik, Kontrol industri Arduino, Raspberry, IOT, Robotika. Order YES sebelum 14.00 dikirim hari yang sama. Terpercaya, Cepat, Lengkap, dan Bergaransi. Mohon kebijakannya untuk sebisa mungkin order minimum 15k :-).;15000;Kota Bandung;DHT11 adalah sensor suhu dan kelembaban udara yang mudah untuk ditambahkan pada project rangkaian elektronika berbasis microcontroller. Modul ini berkomunikasi dengan mikrokontroler menggunakan protokol 1-Wire.Sensor ini adalah salah satu sensor paling sering digunakan pada proyek elektronika berbasis Arduino. Membuat programnya pun sangat mudah karena library sudah tersedia.Silahkan di order yah akang teteh :-);564;5;Barang sesuai gambar, tidak ada kerusakan, penjual ramah dan responsif, harga terjangkau, pengiriman cukup cepat. Terima kasih;fujiyanti25_
29;LCD Character 16X2 1602 5V Blue Backlight Module Modul;Komponen Elektronik;CNC Store Bandung;elektronika;Jual komponen elektronik, Kontrol industri Arduino, Raspberry, IOT, Robotika. Order YES sebelum 14.00 dikirim hari yang sama. Terpercaya, Cepat, Lengkap, dan Bergaransi. Mohon kebijakannya untuk sebisa mungkin order minimum 15k :-);18000;Kota Bandung;LCD karakter 16x2 merupakan jenis LCD yang paling populer karena mudah digunakan untuk menampilkan data. Backlight yang berwarna biru sedap dilihat, dan kontrasnya bisa diatur sesuai kebutuhan.Silahkan di ORDER gan !!! :D;468;5;Barangnya bagus terbungkus dengan rapi kualitas oke, pengirimannya cepat prosesnya cepat terpercaya lah nih toko rekomen bnget josss top markotopppppp;andreastommy73
30;10 pcs Resistor 0.5 W 1/2 W ;Komponen Elektronik;jueliyah;elektronika;Menjual Komponen Sparepart Elektronika, Digital, dan Microcontroller;1000;Kota Semarang;Pembelian Rp 1000 dapat Resistor 1/2 Watt 5%.Resistansi yang ada adalah 2k7 Ohm,3k Ohm,3k3 Ohm,3k9 Ohm,4k7 Ohm,dan 5k1 Ohm .;960;5;Barang sesuai pesanan, packing rapih rekomendasi banget terimakasih gan;asep.hadiyana
31;LED Clear 3 mm Green Color Super Bright Lampu Light Emitting Diode Dioda;Komponen Elektronik;jueliyah;elektronika;Menjual Komponen Sparepart Elektronika, Digital, dan Microcontroller;250;Kota Semarang;Led chip Dip 3mm color Green dengan warna hijau, Voltage 3.0 - 3.2 V, dan Current 20 mA.;750;5;Barang sudah sampai, persis sesuai pesanan, kwalitas bagus, jumlahnya juga pas, pelayanan bagus, packing aman, tengkyu Boss.... ;dicknyonyo
32;Kapasitor 220uF mikro 16V Elco/Elko;Komponen Elektronik;jueliyah;elektronika;Menjual Komponen Sparepart Elektronika, Digital, dan Microcontroller;300;Kota Semarang;220uF 16v ELCO/ELKO (ELECTROLYTIC CAPASITOR/KAPASITOR);533;5;-;-
